state,sex,reference,age,cause_group,ppd_state,ppd_ref,ppd_gap,contribution,method
Alabama,Male,western_europe,15,Lower respiratory infections,0.346247403625507,0.188074905076724,0.158172498548784,1.64243081811621e-05,horiuchi
Alabama,Male,western_europe,15,Malaria,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,15,Maternal conditions,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,15,Mental and substance use disorders,0.346247403625507,0.188074905076724,0.158172498548784,0.000264509081032926,horiuchi
Alabama,Male,western_europe,15,NCDs strongly linked to infections,0.346247403625507,0.188074905076724,0.158172498548784,3.29697761758396e-07,horiuchi
Alabama,Male,western_europe,15,NCDs strongly linked to tobacco use,0.346247403625507,0.188074905076724,0.158172498548784,3.57757525137892e-06,horiuchi
Alabama,Male,western_europe,15,Neonatal conditions,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,15,Neurological conditions,0.346247403625507,0.188074905076724,0.158172498548784,4.29250791800229e-06,horiuchi
Alabama,Male,western_europe,15,Other,0.346247403625507,0.188074905076724,0.158172498548784,0.000226631258793297,horiuchi
Alabama,Male,western_europe,15,Respiratory disease / tobacco-related sensitivity,0.346247403625507,0.188074905076724,0.158172498548784,1.72801981289661e-05,horiuchi
Alabama,Male,western_europe,15,Road injury,0.346247403625507,0.188074905076724,0.158172498548784,0.000778925918281548,horiuchi
Alabama,Male,western_europe,15,Suicide,0.346247403625507,0.188074905076724,0.158172498548784,0.000398135252794973,horiuchi
Alabama,Male,western_europe,15,Tuberculosis,0.346247403625507,0.188074905076724,0.158172498548784,1.36898326563717e-07,horiuchi
Alabama,Male,western_europe,15,Violence,0.346247403625507,0.188074905076724,0.158172498548784,0.000893555733519236,horiuchi
Alabama,Male,western_europe,20,Atherosclerotic CVDs,0.346247403625507,0.188074905076724,0.158172498548784,3.03870156841413e-05,horiuchi
Alabama,Male,western_europe,20,Childhood-cluster diseases,0.346247403625507,0.188074905076724,0.158172498548784,4.85620794687947e-08,horiuchi
Alabama,Male,western_europe,20,Diabetes,0.346247403625507,0.188074905076724,0.158172498548784,3.3341981674595e-05,horiuchi
Alabama,Male,western_europe,20,Diarrheal diseases,0.346247403625507,0.188074905076724,0.158172498548784,6.78493332295638e-07,horiuchi
Alabama,Male,western_europe,20,Haemorrhagic stroke,0.346247403625507,0.188074905076724,0.158172498548784,7.61171839991359e-06,horiuchi
Alabama,Male,western_europe,20,HIV/AIDS,0.346247403625507,0.188074905076724,0.158172498548784,1.32850995415712e-05,horiuchi
Alabama,Male,western_europe,20,Lower respiratory infections,0.346247403625507,0.188074905076724,0.158172498548784,2.98894067121136e-05,horiuchi
Alabama,Male,western_europe,20,Malaria,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,20,Maternal conditions,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,20,Mental and substance use disorders,0.346247403625507,0.188074905076724,0.158172498548784,0.00139884371754251,horiuchi
Alabama,Male,western_europe,20,NCDs strongly linked to infections,0.346247403625507,0.188074905076724,0.158172498548784,6.67638025853012e-06,horiuchi
Alabama,Male,western_europe,20,NCDs strongly linked to tobacco use,0.346247403625507,0.188074905076724,0.158172498548784,6.49162890986599e-06,horiuchi
Alabama,Male,western_europe,20,Neonatal conditions,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,20,Neurological conditions,0.346247403625507,0.188074905076724,0.158172498548784,1.88318030915902e-05,horiuchi
Alabama,Male,western_europe,20,Other,0.346247403625507,0.188074905076724,0.158172498548784,-0.000116348313390802,horiuchi
Alabama,Male,western_europe,20,Respiratory disease / tobacco-related sensitivity,0.346247403625507,0.188074905076724,0.158172498548784,2.26938443456115e-05,horiuchi
Alabama,Male,western_europe,20,Road injury,0.346247403625507,0.188074905076724,0.158172498548784,0.00115896263068749,horiuchi
Alabama,Male,western_europe,20,Suicide,0.346247403625507,0.188074905076724,0.158172498548784,0.000697779975023183,horiuchi
Alabama,Male,western_europe,20,Tuberculosis,0.346247403625507,0.188074905076724,0.158172498548784,4.28460818491239e-07,horiuchi
Alabama,Male,western_europe,20,Violence,0.346247403625507,0.188074905076724,0.158172498548784,0.00158946118764003,horiuchi
Alabama,Male,western_europe,25,Atherosclerotic CVDs,0.346247403625507,0.188074905076724,0.158172498548784,8.42313039468579e-05,horiuchi
Alabama,Male,western_europe,25,Childhood-cluster diseases,0.346247403625507,0.188074905076724,0.158172498548784,8.70250280726737e-08,horiuchi
Alabama,Male,western_europe,25,Diabetes,0.346247403625507,0.188074905076724,0.158172498548784,7.82080059925638e-05,horiuchi
Alabama,Male,western_europe,25,Diarrheal diseases,0.346247403625507,0.188074905076724,0.158172498548784,1.05563600882874e-06,horiuchi
Alabama,Male,western_europe,25,Haemorrhagic stroke,0.346247403625507,0.188074905076724,0.158172498548784,2.70785595651857e-05,horiuchi
Alabama,Male,western_europe,25,HIV/AIDS,0.346247403625507,0.188074905076724,0.158172498548784,5.58168065839526e-05,horiuchi
