state,sex,reference,method,cause_group,contribution,ppd_gap,contribution_pct,rnk
District of Columbia,Female,local_best3,horiuchi,NCDs strongly linked to tobacco use,0.00715338196583304,0.0866759047825337,8.25302254851632,4
District of Columbia,Female,local_best3,horiuchi,Diabetes,0.00423610992363166,0.0866759047825337,4.88729818772574,5
District of Columbia,Female,local_best3,stepwise,Other,0.0366063318397439,0.0866759047825337,42.2335733691937,1
District of Columbia,Female,local_best3,stepwise,Mental and substance use disorders,0.0134059448944134,0.0866759047825337,15.4667492979143,2
District of Columbia,Female,local_best3,stepwise,Atherosclerotic CVDs,0.01332597662701,0.0866759047825337,15.3744880546033,3
District of Columbia,Female,local_best3,stepwise,NCDs strongly linked to tobacco use,0.00715211621014189,0.0866759047825337,8.25156221684245,4
District of Columbia,Female,local_best3,stepwise,Diabetes,0.0042358836525172,0.0866759047825337,4.88703713349732,5
District of Columbia,Female,western_europe,horiuchi,Other,0.0333958809017637,0.112052703630657,29.8037261214523,1
District of Columbia,Female,western_europe,horiuchi,Mental and substance use disorders,0.0261203929485769,0.112052703630657,23.3108100940373,2
District of Columbia,Female,western_europe,horiuchi,Atherosclerotic CVDs,0.0177306936632776,0.112052703630657,15.8235304359284,3
District of Columbia,Female,western_europe,horiuchi,Diabetes,0.00770082143156947,0.112052703630657,6.87249944182745,4
District of Columbia,Female,western_europe,horiuchi,NCDs strongly linked to tobacco use,0.00675243876859066,0.112052703630657,6.02612748269576,5
District of Columbia,Female,western_europe,stepwise,Other,0.0333960438642871,0.112052703630657,29.8038715552689,1
District of Columbia,Female,western_europe,stepwise,Mental and substance use disorders,0.0261235766244223,0.112052703630657,23.3136513247637,2
District of Columbia,Female,western_europe,stepwise,Atherosclerotic CVDs,0.0177262400934639,0.112052703630657,15.8195559045967,3
District of Columbia,Female,western_europe,stepwise,Diabetes,0.00769990102491336,0.112052703630657,6.87167803669728,4
District of Columbia,Female,western_europe,stepwise,NCDs strongly linked to tobacco use,0.00675056539222552,0.112052703630657,6.02445561195597,5
District of Columbia,Male,local_best3,horiuchi,Mental and substance use disorders,0.0414518217202985,0.128015660778927,32.3802739977904,1
District of Columbia,Male,local_best3,horiuchi,Other,0.0326651993189436,0.128015660778927,25.5165650203953,2
District of Columbia,Male,local_best3,horiuchi,Atherosclerotic CVDs,0.0204054965762264,0.128015660778927,15.9398439628922,3
