state,year,sex,l0,l70,ppd,ppd_pct
Alabama,2021,Female,1e+05,70728.3449583423,0.292716550416577,29.2716550416577
Alabama,2022,Male,1e+05,60912.7934299009,0.390872065700991,39.0872065700991
Alabama,2022,Female,1e+05,74733.3714410367,0.252666285589633,25.2666285589633
Alabama,2023,Male,1e+05,62937.1481689248,0.370628518310752,37.0628518310752
Alabama,2023,Female,1e+05,75852.5334278713,0.241474665721287,24.1474665721287
Alaska,1990,Male,1e+05,65077.6303533979,0.349223696466021,34.9223696466021
Alaska,1990,Female,1e+05,78598.1015261105,0.214018984738895,21.4018984738895
Alaska,1991,Male,1e+05,65416.9175578089,0.345830824421911,34.5830824421911
Alaska,1991,Female,1e+05,78954.6328405183,0.210453671594817,21.0453671594817
Alaska,1992,Male,1e+05,66104.1029964499,0.338958970035502,33.8958970035502
Alaska,1992,Female,1e+05,79170.627706046,0.20829372293954,20.829372293954
Alaska,1993,Male,1e+05,66114.9272442062,0.338850727557938,33.8850727557938
Alaska,1993,Female,1e+05,79207.7681324691,0.207922318675309,20.7922318675309
Alaska,1994,Male,1e+05,66478.7873349075,0.335212126650925,33.5212126650925
Alaska,1994,Female,1e+05,79395.0486295741,0.206049513704259,20.6049513704259
Alaska,1995,Male,1e+05,67055.4671580642,0.329445328419358,32.9445328419358
