state,sex,year_start,year_end,ppd_start,ppd_end,aari
West Virginia,Male,2000,2010,0.352742574066634,0.343745599636722,0.00258700966156322
West Virginia,Female,2000,2010,0.231647142800219,0.230642441817562,0.000434758205009489
Wisconsin,Male,2000,2010,0.275983386149408,0.235960483607511,0.0157910128792702
Wisconsin,Female,2000,2010,0.180761716598569,0.155517573464405,0.0151557960085993
Wyoming,Male,2000,2010,0.289291666781227,0.262514245006904,0.00976033029367551
Wyoming,Female,2000,2010,0.199770597942085,0.179522926620459,0.0107439838190206
Alabama,Male,2010,2019,0.347643720456502,0.346205878344167,0.000460610641058734
Alabama,Female,2010,2019,0.227090500500537,0.225621181275907,0.000721506249117043
Alaska,Male,2010,2019,0.264141948967349,0.263588233284515,0.000233191742940786
Alaska,Female,2010,2019,0.1780982116773,0.183450826594044,-0.00328476082893936
Arizona,Male,2010,2019,0.259463051362297,0.275340457080995,-0.00657761098478993
Arizona,Female,2010,2019,0.161599749139219,0.168524395123387,-0.0046511413145679
Arkansas,Male,2010,2019,0.339094310358435,0.339627991792501,-0.00017471878783859
Arkansas,Female,2010,2019,0.220596565219936,0.230269296031297,-0.00475686563978828
California,Male,2010,2019,0.226143737056067,0.222946657285302,0.00158328139440966
California,Female,2010,2019,0.145216084728796,0.135516550904603,0.00771058495080434
Colorado,Male,2010,2019,0.224632624424626,0.232123973334303,-0.00363839929659049
Colorado,Female,2010,2019,0.148455638467947,0.145106221715235,0.00253878894469617
Connecticut,Male,2010,2019,0.218895122761613,0.230598595436452,-0.00577059614457409
Connecticut,Female,2010,2019,0.139522523824077,0.136044939744421,0.00280846736298068
Delaware,Male,2010,2019,0.276188003332708,0.277471743405802,-0.000515122514013977
Delaware,Female,2010,2019,0.178240739374486,0.171572396364132,0.0042456307236971
District of Columbia,Male,2010,2019,0.327973165267307,0.342086370670989,-0.00467033315958731
District of Columbia,Female,2010,2019,0.222499326869688,0.219722007857039,0.00139663323070915
Florida,Male,2010,2019,0.272381900532046,0.272622928229042,-9.82726743681273e-05
Florida,Female,2010,2019,0.167331657798526,0.167356798355062,-1.66923705330335e-05
Georgia,Male,2010,2019,0.296153454552141,0.292967061729861,0.00120267398128338
Georgia,Female,2010,2019,0.196123819797647,0.19281754302759,0.00189087707861257
Hawaii,Male,2010,2019,0.235945991854783,0.231178957555819,0.00227044157320444
Hawaii,Female,2010,2019,0.134987155974581,0.13023798709783,0.00398750527014058
Idaho,Male,2010,2019,0.238105667311411,0.225916302889501,0.00585596462182547
Idaho,Female,2010,2019,0.160833564647192,0.150029134122245,0.00775665794366631
Illinois,Male,2010,2019,0.259316635420831,0.259533904327146,-9.30513354391316e-05
Illinois,Female,2010,2019,0.169329919838228,0.164123196359839,0.00347621218626948
Indiana,Male,2010,2019,0.292662243878679,0.301225624936194,-0.00319935729580834
Indiana,Female,2010,2019,0.195012965802558,0.19945735728232,-0.00250069225508809
Iowa,Male,2010,2019,0.245185817549585,0.252797200763497,-0.00339104041671712
Iowa,Female,2010,2019,0.161209182057206,0.161067540837939,9.76718559559941e-05
Kansas,Male,2010,2019,0.269761479347468,0.271049229258272,-0.00052900485242946
Kansas,Female,2010,2019,0.176596546465513,0.181008156716989,-0.00273784111313657
Kentucky,Male,2010,2019,0.330555349489954,0.347575533640315,-0.00556312232989831
Kentucky,Female,2010,2019,0.225588773857555,0.232677643425689,-0.00343190128650139
Louisiana,Male,2010,2019,0.340327062830249,0.344039068400974,-0.00120462020895418
Louisiana,Female,2010,2019,0.222595798247543,0.224400186263217,-0.000896646753188124
Maine,Male,2010,2019,0.248618951126514,0.261585272610792,-0.00563284382612361
Maine,Female,2010,2019,0.15892464550713,0.155858289177808,0.00216711932241798
Maryland,Male,2010,2019,0.258002665889474,0.267499681268741,-0.0040084398984348
Maryland,Female,2010,2019,0.168744587136713,0.166663815491139,0.00137956744628598
Massachusetts,Male,2010,2019,0.224128953368345,0.221689740317173,0.00121659864147228
Massachusetts,Female,2010,2019,0.141665624744325,0.132992045064847,0.00704472152344637
Michigan,Male,2010,2019,0.278583487247589,0.277154608310675,0.000571528359786244
Michigan,Female,2010,2019,0.186588861760238,0.184101471679026,0.00149228057238782
Minnesota,Male,2010,2019,0.212853871091098,0.211013598642726,0.000965276592090003
Minnesota,Female,2010,2019,0.139060237820922,0.137490127735016,0.00126247276363323
Mississippi,Male,2010,2019,0.361382727233103,0.379753976647563,-0.0054944091269199
Mississippi,Female,2010,2019,0.240152388613028,0.245272686979958,-0.00234135754678777
Missouri,Male,2010,2019,0.295070032852566,0.310338819112108,-0.00559008785644599
Missouri,Female,2010,2019,0.19579785045339,0.199419200070803,-0.00203419381264325
Montana,Male,2010,2019,0.256981626532686,0.259118018804551,-0.000919470219545082
Montana,Female,2010,2019,0.172734953047287,0.167547256915082,0.00339384766686512
Nebraska,Male,2010,2019,0.242040696145883,0.240079310356491,0.000904469824091203
Nebraska,Female,2010,2019,0.159582900011287,0.15829874757523,0.000898123221364955
Nevada,Male,2010,2019,0.283582049357516,0.280697633244758,0.00113658378949189
Nevada,Female,2010,2019,0.185665984095981,0.18119023076621,0.00271498969023143
New Hampshire,Male,2010,2019,0.219754054024789,0.230798718344649,-0.00543373874193986
New Hampshire,Female,2010,2019,0.143411447355412,0.139456347364726,0.0031121798011049
New Jersey,Male,2010,2019,0.233962927012633,0.228628933576808,0.00256577033667171
New Jersey,Female,2010,2019,0.151770010957107,0.141533259384041,0.0077892407481317
New Mexico,Male,2010,2019,0.283480666000432,0.311405566393344,-0.0103848359321227
New Mexico,Female,2010,2019,0.176030633232363,0.193873564455726,-0.0106702408323767
New York,Male,2010,2019,0.235633006705526,0.2214481091519,0.00692243297925388
New York,Female,2010,2019,0.151545963245439,0.13746615272938,0.0108934890677832
North Carolina,Male,2010,2019,0.286584592221283,0.291556687670709,-0.00190936399160435
North Carolina,Female,2010,2019,0.184699424397345,0.185545482923585,-0.000507679106755532
North Dakota,Male,2010,2019,0.244877156515291,0.249160935094849,-0.001925070286945
North Dakota,Female,2010,2019,0.15335943418731,0.15741830748526,-0.00289826210349176
Ohio,Male,2010,2019,0.288725562637838,0.30177764846184,-0.00490060334907316
Ohio,Female,2010,2019,0.193475314412278,0.200301842798182,-0.00384542208691463
Oklahoma,Male,2010,2019,0.337366671789513,0.336025176450146,0.000442797855406907
Oklahoma,Female,2010,2019,0.231955135557442,0.228547757129119,0.0016456615614846
Oregon,Male,2010,2019,0.245880895819753,0.242706645380912,0.00144479403792452
Oregon,Female,2010,2019,0.162623586662606,0.154975439135084,0.00536674955459149
Pennsylvania,Male,2010,2019,0.271854898139066,0.26636634249903,0.00226877784770685
Pennsylvania,Female,2010,2019,0.17395901788514,0.169528114362102,0.00287088674369618
Rhode Island,Male,2010,2019,0.244799666801308,0.235885525567556,0.00413001212854858
Rhode Island,Female,2010,2019,0.155051822772004,0.142689508018154,0.00927479171399992
South Carolina,Male,2010,2019,0.319081822108347,0.325149418345895,-0.00209084002036564
South Carolina,Female,2010,2019,0.200873705588081,0.20413775835249,-0.00178936071665514
