state,sex,ppd_baseline,ppd_2050_target,required_aari,observed_aari_2010_2019,performance_group,implied_ppd_2050,implied_reduction_2050
Illinois,Female,0.164409317940464,0.0822046589702318,0.0260044847070386,0.00347621218626948,Low or worsening,0.149704625299081,0.0894395331456078
Indiana,Male,0.312106355411251,0.156053177705625,0.0260044847070386,-0.00319935729580834,Low or worsening,0.340312781176305,-0.0903744037121186
Indiana,Female,0.205906030659394,0.102953015329697,0.0260044847070386,-0.00250069225508809,Low or worsening,0.220307248581332,-0.0699407291560115
Iowa,Male,0.260936897962998,0.130468448981499,0.0260044847070386,-0.00339104041671712,Low or worsening,0.286000136908858,-0.0960509576894508
Iowa,Female,0.170697586947522,0.0853487934737608,0.0260044847070386,9.76718559559941e-05,Low or worsening,0.170248048455943,0.00263353747183726
Kansas,Male,0.282714073117881,0.14135703655894,0.0260044847070386,-0.00052900485242946,Low or worsening,0.286782174818178,-0.0143894559454816
Kansas,Female,0.190104037553236,0.0950520187766178,0.0260044847070386,-0.00273784111313657,Low or worsening,0.204710047697725,-0.0768316671885472
Kentucky,Male,0.364150614108802,0.182075307054401,0.0260044847070386,-0.00556312232989831,Low or worsening,0.423346595590708,-0.16255905987356
Kentucky,Female,0.248746069408967,0.124373034704483,0.0260044847070386,-0.00343190128650139,Low or worsening,0.272940350856699,-0.0972649799259912
Louisiana,Male,0.371325210776308,0.185662605388154,0.0260044847070386,-0.00120462020895418,Low or worsening,0.383608541298309,-0.0330797106297203
Louisiana,Female,0.232209762089652,0.116104881044826,0.0260044847070386,-0.000896646753188124,Low or worsening,0.237902620553637,-0.024516016952755
Maine,Male,0.28383878347565,0.141919391737825,0.0260044847070386,-0.00563284382612361,Low or worsening,0.330604617513081,-0.164761959112058
Maine,Female,0.180009790031884,0.0900048950159422,0.0260044847070386,0.00216711932241798,Low or worsening,0.169789991082068,0.0567735729707037
Maryland,Male,0.268649332186699,0.13432466609335,0.0260044847070386,-0.0040084398984348,Low or worsening,0.299421506825591,-0.114544020595242
Maryland,Female,0.165310612544032,0.0826553062720159,0.0260044847070386,0.00137956744628598,Low or worsening,0.159270426501834,0.0365384045781603
Massachusetts,Male,0.219725556314458,0.109862778157229,0.0260044847070386,0.00121659864147228,Low or worsening,0.212629475293584,0.0322952010676368
Massachusetts,Female,0.134617481067965,0.0673087405339826,0.0260044847070386,0.00704472152344637,Low or worsening,0.111374305625034,0.172660900044594
Michigan,Male,0.284757802593684,0.142378901296842,0.0260044847070386,0.000571528359786244,Low or worsening,0.280398595384272,0.015308473269937
Michigan,Female,0.186272806929124,0.0931364034645621,0.0260044847070386,0.00149228057238782,Low or worsening,0.17892214389439,0.0394618149364745
Minnesota,Male,0.223096262642284,0.111548131321142,0.0260044847070386,0.000965276592090003,Low or worsening,0.217359671115102,0.0257135258979236
Minnesota,Female,0.145161503281336,0.0725807516406681,0.0260044847070386,0.00126247276363323,Low or worsening,0.140299815548888,0.0334915774675163
Mississippi,Male,0.390719348035948,0.195359674017974,0.0260044847070386,-0.0054944091269199,Low or worsening,0.4533877016109,-0.160392245456928
Mississippi,Female,0.26178089155603,0.130890445778015,0.0260044847070386,-0.00234135754678777,Low or worsening,0.278884756676299,-0.0653365683744249
Missouri,Male,0.322786516052096,0.161393258026048,0.0260044847070386,-0.00559008785644599,Low or worsening,0.375533235476324,-0.163410541646404
Missouri,Female,0.206107925688865,0.103053962844433,0.0260044847070386,-0.00203419381264325,Low or worsening,0.217756858805865,-0.0565186082877009
Montana,Male,0.264628233043354,0.132314116521677,0.0260044847070386,-0.000919470219545082,Low or worsening,0.271283137422381,-0.0251481268740401
Montana,Female,0.182110847637796,0.0910554238188977,0.0260044847070386,0.00339384766686512,Low or worsening,0.16619084761938,0.0874192846001068
Nebraska,Male,0.250964778149545,0.125482389074773,0.0260044847070386,0.000904469824091203,Low or worsening,0.244912977891394,0.0241141418440207
Nebraska,Female,0.165339397697381,0.0826696988486905,0.0260044847070386,0.000898123221364955,Low or worsening,0.161380006541435,0.0239470520099094
Nevada,Male,0.299111390708512,0.149555695354256,0.0260044847070386,0.00113658378949189,Low or worsening,0.290076799063067,0.0302047729578083
Nevada,Female,0.183605786423849,0.0918028932119244,0.0260044847070386,0.00271498969023143,Low or worsening,0.170645038970199,0.0705900816422524
New Hampshire,Male,0.243298969977445,0.121649484988723,0.0260044847070386,-0.00543373874193986,Low or worsening,0.281857607805533,-0.158482536246096
New Hampshire,Female,0.152346886944815,0.0761734434724075,0.0260044847070386,0.0031121798011049,Low or worsening,0.14008672607918,0.0804752962892913
New Jersey,Male,0.218710624646207,0.109355312323103,0.0260044847070386,0.00256577033667171,Low or worsening,0.204090276842508,0.0668479084056823
New Jersey,Female,0.135693042508962,0.0678465212544808,0.0260044847070386,0.0077892407481317,Low or worsening,0.110046240016006,0.18900602432333
New Mexico,Male,0.360748370033672,0.180374185016836,0.0260044847070386,-0.0103848359321227,Low or worsening,0.478203949121096,-0.325588661915398
New Mexico,Female,0.212224052736832,0.106112026368416,0.0260044847070386,-0.0106702408323767,Low or worsening,0.283521263260397,-0.335952544511893
New York,Male,0.230046741378726,0.115023370689363,0.0260044847070386,0.00692243297925388,Low or worsening,0.190951748825758,0.169943691958694
New York,Female,0.139850377454542,0.0699251887272712,0.0260044847070386,0.0108934890677832,Medium progress,0.104380136408637,0.253629927151502
North Carolina,Male,0.316235351460362,0.158117675730181,0.0260044847070386,-0.00190936399160435,Low or worsening,0.332982130555107,-0.0529566951240885
North Carolina,Female,0.202540851963993,0.101270425981996,0.0260044847070386,-0.000507679106755532,Low or worsening,0.205336977201365,-0.0138052408205984
North Dakota,Male,0.265532559662506,0.132766279831253,0.0260044847070386,-0.001925070286945,Low or worsening,0.279713107009025,-0.0534041752338863
North Dakota,Female,0.171861461567448,0.0859307307837238,0.0260044847070386,-0.00289826210349176,Low or worsening,0.185871465958336,-0.0815191740085932
Ohio,Male,0.310461184230179,0.155230592115089,0.0260044847070386,-0.00490060334907316,Low or worsening,0.354497201392964,-0.141840653194624
Ohio,Female,0.201613805452331,0.100806902726165,0.0260044847070386,-0.00384542208691463,Low or worsening,0.223716707107728,-0.109629901612184
Oklahoma,Male,0.356175193095022,0.178087596547511,0.0260044847070386,0.000442797855406907,Low or worsening,0.3519432106865,0.0118817438456278
Oklahoma,Female,0.24432823710938,0.12216411855469,0.0260044847070386,0.0016456615614846,Low or worsening,0.233718222834955,0.043425247936755
Oregon,Male,0.279396695163327,0.139698347581664,0.0260044847070386,0.00144479403792452,Low or worsening,0.268714998436171,0.0382312923240267
Oregon,Female,0.170897121805887,0.0854485609029436,0.0260044847070386,0.00536674955459149,Low or worsening,0.147901565133958,0.134557893245555
Pennsylvania,Male,0.272611575908322,0.136305787954161,0.0260044847070386,0.00226877784770685,Low or worsening,0.25643119054156,0.0593532586165868
Pennsylvania,Female,0.174052457981033,0.0870262289905165,0.0260044847070386,0.00287088674369618,Low or worsening,0.161088491191922,0.0744831008966493
Rhode Island,Male,0.240101661120945,0.120050830560473,0.0260044847070386,0.00413001212854858,Low or worsening,0.214815975055565,0.10531241619625
Rhode Island,Female,0.151585572877546,0.0757927864387731,0.0260044847070386,0.00927479171399992,Low or worsening,0.118141739938629,0.220626754275185
South Carolina,Male,0.341329483354953,0.170664741677477,0.0260044847070386,-0.00209084002036564,Low or worsening,0.361174065252422,-0.0581390792919936
South Carolina,Female,0.213352996480497,0.106676498240249,0.0260044847070386,-0.00178936071665514,Low or worsening,0.223923409134945,-0.0495442427752055
South Dakota,Male,0.256363691863319,0.128181845931659,0.0260044847070386,-0.00234054047215804,Low or worsening,0.273107576510968,-0.0653130110818361
South Dakota,Female,0.18748519907512,0.0937425995375598,0.0260044847070386,-0.00165185432536419,Low or worsening,0.196043553805076,-0.0456481619465179
Tennessee,Male,0.360973105038766,0.180486552519383,0.0260044847070386,-0.00530444892163495,Low or worsening,0.416715933779323,-0.154423772747752
Tennessee,Female,0.236686280468473,0.118343140234237,0.0260044847070386,-0.00502960754156256,Low or worsening,0.271205711261241,-0.145844662920234
Texas,Male,0.27780658562632,0.13890329281316,0.0260044847070386,0.001004182604885,Low or worsening,0.270379305986613,0.0267354340177415
Texas,Female,0.178320198759344,0.0891600993796718,0.0260044847070386,0.00366774589641272,Low or worsening,0.161536775451519,0.0941195861410784
Utah,Male,0.223574729708544,0.111787364854272,0.0260044847070386,0.00475946123829263,Low or worsening,0.196673522410074,0.120323112247698
Utah,Female,0.146917054739723,0.0734585273698616,0.0260044847070386,0.00187005888085912,Low or worsening,0.139689728286576,0.0491932435342554
Vermont,Male,0.261068540810076,0.130534270405038,0.0260044847070386,-0.00370724677449141,Low or worsening,0.288606637122422,-0.105482247025618
Vermont,Female,0.156146025761993,0.0780730128809966,0.0260044847070386,-0.00219558528165464,Low or worsening,0.165693154015176,-0.0611423070590069
Virginia,Male,0.266897425567473,0.133448712783736,0.0260044847070386,-0.00103748599527764,Low or worsening,0.274483479098508,-0.028423104924695
Virginia,Female,0.174730580732716,0.087365290366358,0.0260044847070386,-0.000113785961499135,Low or worsening,0.175268247768385,-0.00307712040682362
Washington,Male,0.258231191778827,0.129115595889413,0.0260044847070386,0.000789457016879824,Low or worsening,0.252787280297387,0.0210815410947816
Washington,Female,0.16107220476445,0.0805361023822249,0.0260044847070386,0.00300847547799887,Low or worsening,0.148523893800106,0.0779048811226865
West Virginia,Male,0.387555505623687,0.193777752811843,0.0260044847070386,-0.00712518486421987,Low or worsening,0.470091668376904,-0.212966043716483
West Virginia,Female,0.271429468053639,0.13571473402682,0.0260044847070386,-0.00742785652699707,Low or worsening,0.331956186195156,-0.222992435477031
Wisconsin,Male,0.251208726926482,0.125604363463241,0.0260044847070386,-0.00137835712104595,Low or worsening,0.260740455458163,-0.0379434609947671
Wisconsin,Female,0.162692777753704,0.0813463888768517,0.0260044847070386,-0.000389042102104664,Low or worsening,0.164411067981366,-0.0105615642647845
Wyoming,Male,0.279948137005386,0.139974068502693,0.0260044847070386,-0.00138710262539443,Low or worsening,0.290639053321534,-0.038188917527757
Wyoming,Female,0.192211624168779,0.0961058120843897,0.0260044847070386,-0.00116664401397526,Low or worsening,0.198366186865493,-0.032019721613245
