state,sex,ppd_baseline,ppd_2050_target,required_aari,observed_aari_2010_2019,implied_ppd_2050,implied_reduction_2050,performance_group
New York,Female,0.139850377454542,0.0699251887272712,0.0260044847070386,0.0108934890677832,0.104380136408637,0.253629927151502,Medium progress
California,Female,0.139352773498527,0.0696763867492634,0.0260044847070386,0.00771058495080434,0.113252674303228,0.18729515416193,Low or worsening
Connecticut,Female,0.137347287126487,0.0686736435632434,0.0260044847070386,0.00280846736298068,0.127331041891896,0.0729264148141978,Low or worsening
New Jersey,Female,0.135693042508962,0.0678465212544808,0.0260044847070386,0.0077892407481317,0.110046240016006,0.18900602432333,Low or worsening
Massachusetts,Female,0.134617481067965,0.0673087405339826,0.0260044847070386,0.00704472152344637,0.111374305625034,0.172660900044594,Low or worsening
Mississippi,Male,0.390719348035948,0.195359674017974,0.0260044847070386,-0.0054944091269199,0.4533877016109,-0.160392245456928,Low or worsening
West Virginia,Male,0.387555505623687,0.193777752811843,0.0260044847070386,-0.00712518486421987,0.470091668376904,-0.212966043716483,Low or worsening
Louisiana,Male,0.371325210776308,0.185662605388154,0.0260044847070386,-0.00120462020895418,0.383608541298309,-0.0330797106297203,Low or worsening
Alabama,Male,0.370628518310752,0.185314259155376,0.0260044847070386,0.000460610641058734,0.366048792962485,0.0123566458650836,Low or worsening
Kentucky,Male,0.364150614108802,0.182075307054401,0.0260044847070386,-0.00556312232989831,0.423346595590708,-0.16255905987356,Low or worsening
Arkansas,Male,0.362043948522874,0.181021974261437,0.0260044847070386,-0.00017471878783859,0.363756041995849,-0.00472896586163296,Low or worsening
Tennessee,Male,0.360973105038766,0.180486552519383,0.0260044847070386,-0.00530444892163495,0.416715933779323,-0.154423772747752,Low or worsening
New Mexico,Male,0.360748370033672,0.180374185016836,0.0260044847070386,-0.0103848359321227,0.478203949121096,-0.325588661915398,Low or worsening
Oklahoma,Male,0.356175193095022,0.178087596547511,0.0260044847070386,0.000442797855406907,0.3519432106865,0.0118817438456278,Low or worsening
South Carolina,Male,0.341329483354953,0.170664741677477,0.0260044847070386,-0.00209084002036564,0.361174065252422,-0.0581390792919936,Low or worsening
District of Columbia,Male,0.335961667773268,0.167980833886634,0.0260044847070386,-0.00467033315958731,0.381225646162467,-0.134729591888281,Low or worsening
Missouri,Male,0.322786516052096,0.161393258026048,0.0260044847070386,-0.00559008785644599,0.375533235476324,-0.163410541646404,Low or worsening
Alaska,Male,0.320817991676777,0.160408995838388,0.0260044847070386,0.000233191742940786,0.31880464438201,0.00627566828232928,Low or worsening
North Carolina,Male,0.316235351460362,0.158117675730181,0.0260044847070386,-0.00190936399160435,0.332982130555107,-0.0529566951240885,Low or worsening
Indiana,Male,0.312106355411251,0.156053177705625,0.0260044847070386,-0.00319935729580834,0.340312781176305,-0.0903744037121186,Low or worsening
Ohio,Male,0.310461184230179,0.155230592115089,0.0260044847070386,-0.00490060334907316,0.354497201392964,-0.141840653194624,Low or worsening
Georgia,Male,0.306267008875945,0.153133504437972,0.0260044847070386,0.00120267398128338,0.296487367786519,0.0319317484613134,Low or worsening
Nevada,Male,0.299111390708512,0.149555695354256,0.0260044847070386,0.00113658378949189,0.290076799063067,0.0302047729578083,Low or worsening
